frame_index,predicted_water_pixels
0,3156151
1,3032519
2,3147503
3,3176014
4,3092755
5,2883902
6,2702589
7,2683257
8,2670251
9,2438115
10,2498257
11,2423787
12,2293157
13,2318785
14,2219899
15,2129880
16,1874488
17,1997984
18,1513393
19,1385394
20,1303702
21,1219480
22,1021545
23,840344
24,792990
25,464063
26,649900
27,542896
28,1076451
29,745993
30,1237596
31,1360463
32,1232596
33,811629
34,1085839
35,1126378
36,433309
37,1094699
38,985282
