frame_index,predicted_water_pixels
0,2427020
1,2399241
2,2398310
3,2392296
4,2342155
5,2294238
6,2228847
7,2192930
8,2192153
9,2274123
10,2241110
11,2253632
12,2295347
13,2371003
14,2428247
15,2453069
16,2376432
17,2259253
18,2169099
19,2039659
20,1976277
21,2015060
22,1959755
23,1873374
24,1814366
25,1742665
26,1743945
27,1837224
28,2104983
29,1807349
30,1767299
31,1675992
32,1649888
33,1685994
34,1687099
35,1714758
36,1744296
37,1720899
38,1724776
